Recall Number,Recall Event ID,Device Type,Product Code,Regulation Description,Medical Specialty,Review Panel,Submission Type,Trade Name/Product,Main Name,Recall Class,Date Posted,Year Posted,Recalling Manufacturer,Reason for Recall,FDA Determined Cause,Action,Consumer Instructions,Clean Quantity,Quantity in Commerce,Distribution,Recall Status,Termination Date,Time to Terminate,Merged Quantities
Z-0926-2017,75348,No,NGT,Intravascular catheter.,General Hospital,General Hospital,510(k),"Normal Saline Flush 0.9% USP Sodium Chloride Injection Syringe, 3 ml fill, 5 ml fill and 10 ml fill. Product codes: 1203, 1205, 1210, 1210-BP",N/A,N/A,"October 04, 2016", 2016,"Nurse Assist, Inc",Potential contamination with B. cepacia.,Unknown/Undetermined by firm,"Nurse Assist, Inc. sent an Urgent Medical Device Recall letter dated October 4, 2016, to all affected consignees.  The letter identified the product, the problem, and the action to be taken by the consignee.   Consignees were instructed to immediately discontinue use, a Returned Goods Authorization would be provided for return of the affected product.  If product was further distributed consignees were instructed to make every effort to retrieve any of the unused product.   For questions consignees should call 800-649-6800 or email productremovalinfo@nurseassist.com.For questions regarding this recall call 817-231-1300.",N/A,386175,"386,175 syringes","Worldwide Distribution - US (Nationwide), St. Thomas, US Virgin Islands, and Internationally to Canada.",Terminated,"August 16, 2017",316,386175
Z-0942-2017,75881,No,ITI,Powered wheelchair.,Physical Medicine,Physical Medicine,510(k),"TRU-Balance 3 Power Positioning Systems, TB3 Lift/Tilt/Recline (Gen 1).",N/A,N/A,"December 01, 2016", 2016,Pride Mobility Products Corp,The interface between the TB3 back and tilt base can separate when tilted beyond the specified angle.,Use error,Pride Mobility Products Corp. mailed a letter to affected customers to inform them of the issue. Systems were not required to be returned.  Customers were informed that a TB3 Seat Depth Adjustment Reinformcement Kit which contains (2) reinforcement plates and associated hardware to strengthen the interface will be installed to address the issue.  Direct accounts were asked to contact patients to inform them of the product correction.  Customers were also requested to complete and return Pride's completion card once the correction has been made.  Pride will issue a $65.00 credit once the completion card is received.  Customers with questions were instructed to call Pride's Upgrade Department at 866-222-6212.For questions regarding this recall call 800-800-8586.,N/A,12343,"12,343 chairs",Nationwide Distribution,"Open, Classified",N/A,N/A,12343
Z-0940-2017,76014,No,OGZ,Diagnostic intravascular catheter.,Cardiovascular,Cardiovascular,510(k),"TVC Imaging System model TVC-MC9 , for the near-infrared examination of coronary arteries in patients undergoing invasive coronary angiography",N/A,N/A,"December 15, 2016", 2016,"Infraredx, Inc.",Near-infrared spectroscopic image (Chemogram) generated by the TVC Imaging System TVC-MC9 in some cases demonstrated an unusual appearance in that the yellow in the image (indicating the presence of lipid core plaques) was horizontally-oriented,Device Design,"Infraredx, Inc. sent an Urgent Product Recall Medical Device Field Correction letter dated December 15, 2016, describing the problem and replacing the defective lasers. A Field Service Representative will contact customers to schedule a replacement of the system's laser rack module. If customers receive this letter and are not contacted within 48 hours, please call Infraredx Technical Support@ 1-800-596-3104.For questions regarding this recall call 781-221-0053.",N/A,7,7 units,Worldwide Distribution - US including MI and Internationally to South Korea,"Open, Classified",N/A,N/A,7
Z-0943-2017,75888,No,LZO,Hip joint metal/ceramic/polymer semi-constrained cemented or nonporous uncemented prosthesis.,Orthopedic,Orthopedic,510(k),"PROFEMUR(R) R RASP HANDLE, REF PPW38078, 1 EACH, NON-STERILE, MicroPort Orthopedics, Arlington, TN",N/A,N/A,"November 17, 2016", 2016,MicroPort Orthopedics Inc.,The recall is being initiated because all broach handles in the affected lot had the same non-conformity with the connection feature. The broach handles may have machining issues that do not allow the handle to properly mate with an associated broach.,Process control,"MicroPort Orthopedics sent an Voluntary Device Product Recall letter to all affected customers.   The letter identified the product, the problem, and the action to be taken by the customer.  Customers were instructed to complete and return the enclosed form even if they do not have any affected product to return.  Return the completed form by fax to 1-901-451-6032 or by email to PostMarket@ortho.microport.com.  Attempt  #1 for acknowledgment will be made by email.  For questions regarding this recall call 901-867-4318.",N/A,20,20 units,"Worldwide Distribution to Spain, China, and Italy","Open, Classified",N/A,N/A,20
Z-0941-2017,75882,No,MAX,Intervertebral body fusion device.,Orthopedic,Orthopedic,510(k),"G3 Opticage Expandable Interbody Fusion Device, Model No. 9180-00, 9180-01, 9180-06, 9180-07, 9180-17, 9101-00, 9101-06",N/A,N/A,"November 22, 2016", 2016,Interventional Spine Inc,"During implantation, the proximal end of the device could separate if the angle between the device and insertion instrument is too steep.  This separation will prevent the device from expanding.",Device Design,"Interventional Spince, Inc. sent an An Urgent Medical Device Recall letter dated November 22, 2016, to all affected customers to inform them that during implantation, the proximal end of the device could separate if the angle between the device and insertion instrument is too steep.  This separation will prevent the device from expanding.  The letter informs the customers of the risk to health and actions to be taken by the customer/user.  Customers were instructed to discontinue use and return device per the enclosed instructions.  Complete the enclosed acknowledgment letter and fax, email or mail it to Interventional Spine.  Customers with questions were instructed to call Monday through Friday 8am to 5pm (Pacific Time), 949-472-0006 or email cs@i-spineinc.com.",N/A,239,239 units,"Nationwide Distribution to NY, NC, SC, PA, TX, OH, GA, NJ, DE, AZ, DC, CA, and VA.",Completed,N/A,N/A,239
Z-0944-2017,75873,No,MEH,Hip joint metal/ceramic/polymer semi-constrained cemented or nonporous uncemented prosthesis.,Orthopedic,Orthopedic,510(k),Modular REDAPT(TM) Hip Systems,N/A,N/A,"November 15, 2016", 2016,"Smith &amp; Nephew, Inc.",All lots of modular neck hip prostheses are being recalled due to a higher than anticipated complaint and adverse event trend.,Device Design,"Smith &amp; Nephew sent an Urgent Product Recall Notification letter dated November 15, 2016, to all affected customers.  Customers were instructed to inspect their inventory and locate any unused devices and quarantine immediately.  Complete the Inventory Return Certification Form and obtain a return authorization (RA) number if there was product to return.For questions regarding this recall call 978-749-1440.",N/A,6266,6266 units,"Worldwide Distribution - US (nationwide) and Internationally to Austria, Australia, Belgium, Canada, Switzerland, China, Cyprus, Czech Republic, Dubai, Germany, Denmark, Spain, France, United Kingdom, Greece, Hong Kong, India, Italy, Mexico, Netherlands, Poland, Puerto Rico, Portugal, Russia, Turkey, and South Africa.","Open, Classified",N/A,N/A,31936
Z-0949-2017,75999,No,DYB,Catheter introducer.,Cardiovascular,Cardiovascular,510(k),PreludeEASE Hydrophilic Sheath Introducer Dilator,N/A,N/A,"December 01, 2016", 2016,"Merit Medical Systems, Inc.",Recalling dilators included with the 6F PreludeEASE Hydrophilic Sheath Introducer because the dilator tips were manufactured with an undersized inner diameter and therefore will not allow passage of an 0.021 (0.53 mm) guide wire.,Process change control,"Merit Medical sent an Urgent Product Recall Notice dated December 1, 2016, to all affected consignees.  The letter identified the product, the problem, and the action to be taken by the consignee.   Consignees were instructed to identify any affected devices within their facility, quarantine them, and discontinue use.  Ensure that all personnel to whom the devices were distributed are made aware of this field action.  Consignees were asked to work with their Merit Sales Representative to arrange product return.  Consignees with questions were instructed to contact their Merit Sales Representative or Merit Customer Service at response@merit.com or at 801-208-4381.For questions regarding this recall call 801-208-4623.",N/A,335,335,Nationwide Distribution,Terminated,"April 18, 2017",138,335
Z-0947-2017,75937,No,HFX,Obstetric-gynecologic specialized manual instrument.,Obstetrics/Gynecology,Obstetrics/Gynecology,510(k),Gomco Circumcision Clamps with separate O-Ring Component: The device is packaged non-sterile and has no shelf-life,N/A,N/A,"October 28, 2016", 2016,Aesculap Implant Systems LLC,Aesculap has received complaints of excessive bleeding after use of Gomco Circumcision Clamps.,Under Investigation by firm,"Aesculap sent an Urgent Medical Device Recall Notification letter dated October 28, 2016, to all affected customers were sent an Urgent Medical Device Recall Notification letter via Fed-Ex overnight..  Customers were asked to immediately remove the affect product from their inventory and return to Aesculap.   A return label was provided to efficiently remove and return the affected products.  Customers with questions should call 610-984-9414.For questions regarding this recall call 800-258-1946.",N/A,437,437 units,Nationwide Distribution,"Open, Classified",N/A,N/A,437
Z-0948-2017,75827,Yes,OOD,Surgical mesh.,General &amp; Plastic Surgery,General &amp; Plastic Surgery,510(k),"GalaSHAPE 3D; product code SH3D03, a medium size oval",N/A,N/A,"November 21, 2016", 2016,Tepha Incorporated,Endotoxin values from testing of retains slightly exceeded the established specification.,Process design,"Tepha Medical Devices sent a Voluntary Product Recall Notification letter dated November 22, 2016, to all affected customers.  Beginning on 11/21/2016, all impacted customers were notified of the recall via phone or in person by Galatea Surgical, a wholly owned subsidiary of Tepha, responsible for the sales and marketing of GalaSHAPE 3D. That notification was followed up by the Tepha recall letter dated November 22, 2016, delivered by certified mail.  Customers were instructed to do the following:1) Immediately review your inventory for the affected lot number listed above.2) If you do not have any of the affected lot in your inventory, complete the enclosed RecallAcknowledgment Form, indicate that you have zero (O) inventory and fax the completed form back to (781) 357-1701 or email it to contact@galateasurgical.com.3) If you do have inventory from the affected lot, please complete the enclosed Recall Acknowledgement Form and fax back to Tepha, Inc. at (781) 357-1701 or email it to contact@galateasurgical.com. A Galatea representative will contact you to arrange for the product return.If you have any questions or require assistance with the return of the recalled product, please call Galatea Surgical, at (781) 357-1752.For questions regarding this recall call 781-357-1750.",N/A,29,29,"Nationwide Distribution to IN, CA, FL, MI, NV, and MT",Terminated,"January 05, 2017",45,29
Z-0951-2017,75846,No,LGZ,Infusion pump.,General Hospital,General Hospital,510(k),Natus Warmette Blanket Cabinet and Warmette Dual Cabinet,N/A,N/A,"October 15, 2016", 2016,Natus Manufacturing Limited,The fuse blows during initial power up or after a period of time.  This results in a complete loss of power to the Cabinet and in some cases has resulted in the fuse cover for the power inlet melting slightly.,Mixed-up of materials/components,"Natus Manufacturing Limited sent an ""Urgent Field Safety Notice"" letter dated April, 2016, via email. The letter described the problem and the product involved in the recall. Informed the consignees that a repair kit to correct the issue is available for repair of affected units.  Requested consignees to complete the attached form and Faxto 847-949-6031 or e-mail it to Natus Quality Programs. In turn the firm will send the repair kit.  For questions contact Technical Service at 888-496-2887.For questions regarding this recall call 888-496-2887.",N/A,31,31,"Worldwide Distribution - US including NJ, NC, TX, IL, VA, NY, FL, CA, MS, WA, IN, and MA. and Internationally to Canada and Costa Rica.",Completed,N/A,N/A,31
